2025-11-27 14:41:52 | INFO     | seo_workbench.utils.logger:setup_logger:56 - 日志系统初始化完成 - 日志目录: E:\Case-5\seo_workbench\logs, 级别: INFO
2025-11-27 14:41:52 | INFO     | seo_workbench.database.init_db:init_database:28 - 数据库文件已存在: assets.db
2025-11-27 14:41:52 | INFO     | seo_workbench.database.db_manager:_initialize:49 - 数据库管理器初始化完成: assets.db
2025-11-27 14:41:52 | INFO     | seo_workbench.database.db_manager:create_tables:54 - 数据库表创建完成
2025-11-27 14:41:52 | INFO     | seo_workbench.database.init_db:init_database:43 - 数据库初始化完成 - 素材数: 5, 分类数: 4
2025-11-27 14:41:52 | INFO     | seo_workbench.config.settings:load_from_file:171 - 配置已加载: profile.json
2025-11-27 14:41:52 | INFO     | __main__:load_config:39 - 配置已加载: profile.json
2025-11-27 14:41:53 | INFO     | seo_workbench.ui.main_window:__init__:43 - Fluent 主窗口初始化完成
2025-11-27 14:51:41 | INFO     | seo_workbench.utils.logger:setup_logger:56 - 日志系统初始化完成 - 日志目录: E:\Case-5\seo_workbench\logs, 级别: INFO
2025-11-27 14:51:41 | INFO     | seo_workbench.database.init_db:init_database:28 - 数据库文件已存在: assets.db
2025-11-27 14:51:41 | INFO     | seo_workbench.database.db_manager:_initialize:49 - 数据库管理器初始化完成: assets.db
2025-11-27 14:51:41 | INFO     | seo_workbench.database.db_manager:create_tables:54 - 数据库表创建完成
2025-11-27 14:51:41 | INFO     | seo_workbench.database.init_db:init_database:43 - 数据库初始化完成 - 素材数: 5, 分类数: 4
2025-11-27 14:51:41 | INFO     | seo_workbench.config.settings:load_from_file:171 - 配置已加载: profile.json
2025-11-27 14:51:41 | INFO     | __main__:load_config:39 - 配置已加载: profile.json
2025-11-27 14:51:42 | INFO     | seo_workbench.ui.main_window:__init__:43 - Fluent 主窗口初始化完成
2025-11-27 15:04:36 | INFO     | seo_workbench.utils.logger:setup_logger:56 - 日志系统初始化完成 - 日志目录: E:\Case-5\seo_workbench\logs, 级别: INFO
2025-11-27 15:04:36 | INFO     | seo_workbench.ui.styles.fluent_style:load_font:50 - OPPO Sans 字体文件不存在: E:\Case-5\seo_workbench\resources\fonts\OPPOSans-Regular.ttf，使用默认字体
2025-11-27 15:04:36 | INFO     | seo_workbench.ui.styles.fluent_style:apply_to_app:204 - Fluent Design 样式已应用
2025-11-27 15:05:27 | INFO     | seo_workbench.utils.logger:setup_logger:56 - 日志系统初始化完成 - 日志目录: E:\Case-5\seo_workbench\logs, 级别: INFO
2025-11-27 15:05:27 | INFO     | seo_workbench.ui.styles.fluent_style:load_font:50 - OPPO Sans 字体文件不存在: E:\Case-5\seo_workbench\resources\fonts\OPPOSans-Regular.ttf，使用默认字体
2025-11-27 15:05:27 | INFO     | seo_workbench.ui.styles.fluent_style:apply_to_app:204 - Fluent Design 样式已应用
2025-11-27 15:05:27 | INFO     | seo_workbench.database.init_db:init_database:28 - 数据库文件已存在: assets.db
2025-11-27 15:05:27 | INFO     | seo_workbench.database.db_manager:_initialize:49 - 数据库管理器初始化完成: assets.db
2025-11-27 15:05:27 | INFO     | seo_workbench.database.db_manager:create_tables:54 - 数据库表创建完成
2025-11-27 15:05:27 | INFO     | seo_workbench.database.init_db:init_database:43 - 数据库初始化完成 - 素材数: 5, 分类数: 4
2025-11-27 15:05:27 | INFO     | seo_workbench.config.settings:load_from_file:171 - 配置已加载: profile.json
2025-11-27 15:05:27 | INFO     | __main__:load_config:40 - 配置已加载: profile.json
2025-11-27 15:05:28 | INFO     | seo_workbench.ui.main_window:_init_window:64 - Mica 毛玻璃效果已启用
2025-11-27 15:05:28 | INFO     | seo_workbench.ui.main_window:__init__:43 - Fluent 主窗口初始化完成
2025-11-27 17:14:53 | INFO     | seo_workbench.utils.logger:setup_logger:56 - 日志系统初始化完成 - 日志目录: E:\Case-5\seo_workbench\logs, 级别: INFO
